file_name,Y
0,5
1,18
2,0
3,3
4,2
5,2
6,5
7,17
8,13
9,8
10,0
11,17
12,4
13,13
14,11
15,9
16,0
17,22
18,11
19,3
20,6
21,9
22,11
23,19
24,0
25,5
26,6
27,2
28,10
29,4
30,9
31,13
32,17
33,1
34,0
35,12
36,1
37,0
38,2
39,4
40,0
41,22
42,4
43,4
44,0
45,10
46,3
47,9
48,11
49,1
50,19
51,0
52,3
53,2
54,0
55,3
56,0
57,2
58,5
59,12
60,1
61,0
62,11
63,5
64,24
65,1
66,16
67,2
68,7
69,5
70,8
71,15
72,0
73,14
74,1
75,11
76,11
77,32
78,2
79,7
80,3
81,2
82,0
83,14
84,3
85,8
86,0
87,3
88,2
89,2
90,5
91,17
92,13
93,8
94,20
95,16
96,22
97,4
98,4
99,0
100,8
101,3
102,14
103,0
104,12
105,1
106,0
107,10
108,13
109,6
110,0
111,5
112,6
113,8
114,2
115,5
116,6
117,17
118,2
119,5
120,25
121,1
122,11
123,19
124,0
125,2
126,4
127,0
128,2
129,7
130,1
131,0
132,22
133,1
134,9
135,0
136,14
137,7
138,1
139,10
140,1
141,0
142,31
143,1
144,12
145,0
146,14
147,3
148,8
149,0
150,8
151,11
152,1
153,1
154,23
155,5
156,6
157,21
158,15
159,16
160,18
161,4
162,10
163,0
164,2
165,7
166,1
167,0
168,8
169,3
170,12
171,1
172,0
173,8
174,7
175,19
176,0
177,8
178,12
179,5
180,11
181,1
182,0
183,17
184,10
185,1
186,23
187,2
188,0
189,3
190,17
191,10
192,4
193,8
194,8
195,0
196,7
197,5
198,8
199,0
200,18
201,3
202,17
203,1
204,20
205,0
206,7
207,4
208,2
209,0
210,14
211,5
212,2
213,7
214,0
215,1
216,12
217,22
218,3
219,10
220,10
221,3
222,8
223,8
224,12
225,1
226,6
227,2
228,15
229,0
230,5
231,16
232,2
233,10
234,5
235,1
236,9
237,0
238,2
239,4
240,0
241,17
242,4
243,25
244,1
245,10
246,0
247,13
248,23
249,0
250,22
251,19
252,0
253,17
254,4
255,25
256,1
257,10
258,5
259,6
260,21
261,0
262,31
263,1
264,12
265,0
266,13
267,23
268,20
269,16
270,27
271,3
272,7
273,39
274,3
275,7
276,15
277,0
278,9
279,4
280,6
281,28
282,2
283,0
284,2
285,4
286,13
287,17
288,7
289,0
290,7
291,5
292,12
293,15
294,26
295,0
296,3
297,2
298,2
299,5
300,17
301,13
302,8
303,0
304,8
305,3
306,5
307,9
308,20
309,16
310,12
311,10
312,20
313,0
314,7
315,1
316,17
317,24
318,0
319,2
320,3
321,2
322,1
323,0
324,8
325,3
326,2
327,0
328,11
329,4
330,4
331,24
332,5
333,6
334,21
335,0
336,5
337,6
338,2
339,1
340,6
341,2
342,11
343,19
344,0
345,3
346,2
347,0
348,22
349,4
350,4
351,0
352,2
353,7
354,10
355,4
356,13
357,21
358,7
359,0
360,7
361,5
362,8
363,0
364,7
365,4
366,10
367,6
368,39
369,10
370,5
371,12
372,12
373,1
374,9
375,16
376,21
377,11
378,3
379,8
380,8
381,1
382,8
383,20
384,0
385,7
386,1
387,0
388,14
389,3
390,8
391,0
392,3
393,22
394,4
395,13
396,2
397,0
398,2
399,4
400,0
401,8
402,23
403,1
404,3
405,24
406,0
407,14
408,7
409,1
410,6
411,0
412,9
413,10
414,20
415,0
416,10
417,1
418,19
419,6
420,4
421,11
422,9
423,8
424,0
425,17
426,3
427,12
428,1
429,0
430,9
431,4
432,14
433,6
434,0
435,2
436,7
437,1
438,0
439,7
440,3
441,11
442,11
443,20
444,16
445,27
446,1
447,25
448,1
449,10
450,19
451,22
452,4
453,9
454,19
455,0
456,4
457,13
458,2
459,15
460,26
461,0
462,7
463,1
464,0
465,8
466,3
467,5
468,9
469,15
470,0
471,3
472,8
473,0
474,7
475,1
476,0
477,17
478,3
479,12
480,1
481,0
482,5
483,6
484,0
485,2
486,7
487,1
488,0
489,9
490,4
491,4
492,10
493,20
494,0
495,27
496,1
497,25
498,1
499,6
500,5
501,6
502,28
503,15
504,0
505,3
506,10
507,2
508,7
509,13
510,10
511,15
512,16
513,9
514,5
515,9
516,6
517,28
518,2
519,0
520,6
521,4
522,2
523,5
524,17
525,1
526,0
527,19
528,4
529,13
530,0
531,2
532,7
533,1
534,0
535,18
536,5
537,10
538,8
539,2
540,0
541,2
542,5
543,12
544,1
545,0
546,5
547,0
548,14
549,3
550,8
551,0
552,7
553,1
554,10
555,1
556,20
557,26
558,16
559,9
560,10
561,20
562,0
563,10
564,1
565,19
566,6
567,4
568,11
569,9
570,8
571,28
572,8
573,0
574,25
575,4
576,5
577,17
578,1
579,0
580,14
581,3
582,8
583,0
584,3
585,8
586,0
587,22
588,10
589,1
590,1
591,37
592,19
593,0
594,3
595,8
596,0
597,7
598,5
599,8
600,0
601,8
602,2
603,1
604,23
605,15
606,0
607,3
608,8
609,0
610,2
611,7
612,4
613,13
614,21
615,7
616,0
617,7
618,1
619,0
620,7
621,3
622,9
623,16
624,8
625,3
626,5
627,9
628,0
629,5
630,2
631,0
632,1
633,25
634,1
635,10
636,19
637,0
638,1
639,25
640,1
641,6
642,5
643,6
644,21
645,0
646,4
647,18
648,0
649,7
650,5
651,8
652,0
653,11
654,5
655,18
656,1
657,15
658,0
659,3
660,6
661,0
662,3
663,6
664,6
665,4
666,13
667,6
668,17
669,1
670,12
671,1
672,6
673,2
674,0
675,2
676,7
677,3
678,2
679,0
680,3
681,8
682,2
683,4
684,13
685,6
686,9
687,1
688,9
689,0
690,12
691,1
692,16
693,1
694,25
695,1
696,6
697,0
698,12
699,4
700,10
701,1
702,0
703,2
704,7
705,3
706,6
707,0
708,22
709,1
710,5
711,6
712,21
713,0
714,5
